3.17 0.24 0.06 0.03 0.07 0.82 1.21 0.68 0.17 0.11 0.26 0.53 0.63 0.62
0.29 13.03 1.76 0.04 0.13 0.36 0.93 1.41 0.26 0.16 0.04 0.3 0.57 0.86
0 1.14 17.5 2.51 0.25 0.29 0.47 1.04 0.92 0.49 0.23 0.13 0.16 0.69
0 0.05 0.97 17.64 0.85 1.03 1.64 2.57 1.65 1.59 0.94 0.71 0.28 0.92
0.1 0 0.08 0.07 2.15 2.67 2.44 3.04 2.95 3.17 1.72 1.27 0.61 0.82
0.16 0.07 0.07 0.21 1.14 2.76 2.56 3.29 2.05 2.41 1.86 1.74 0.87 1.27
0.42 0.41 0.06 0.32 1.44 2.65 4.11 4.53 2.81 3.38 1.98 1.86 1.05 1.17
0.11 0.29 0.33 0.18 0.76 1.57 2.3 3.07 2.17 2.32 1.31 1.33 0.69 0.63
0.04 0.08 0.37 0.45 0.76 1.55 2.2 3.23 2.21 2.82 1.34 0.9 0.37 1.51
0.04 0.09 0.25 0.27 1.42 1.95 2.64 2.81 2.78 2.91 2.03 1.18 0.58 1.53
0.09 0.06 0.12 0.24 1.04 1.77 1.48 2.7 2.15 2.57 2.1 1.68 1.48 2.56
0.1 0.09 0.04 0.07 0.61 1.24 1.66 1.96 1.32 1.75 1.46 2.37 1.08 2.79
0.05 0.03 0.1 0.05 0.26 0.72 0.96 1.1 0.82 0.93 1.03 1.57 1.78 2.46
0.03 0.12 0.06 0.06 0.13 0.27 0.25 0.56 0.69 0.74 0.68 0.88 1.48 5.56

